workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_0fcd8a7452613211b5179376,1.0,8,ceiling,preload_all,6,0.9219271264277938,-0.2588361870150983,AF/DF midpoint before one log-log slope per workload-design
workload_0fcd8a7452613211b5179376,1.0,8,floor,preload_all,5,1.0709331949712877,1.4232083534191378,AF/DF midpoint before one log-log slope per workload-design
workload_0fcd8a7452613211b5179376,1.0,8,nearest,preload_all,5,1.1619621789703585,1.7492107196164532,AF/DF midpoint before one log-log slope per workload-design
workload_10967e5b4931fca6bc0140cb,0.95,8,ceiling,preload_all,5,0.8362058323044801,-0.7236573251324259,AF/DF midpoint before one log-log slope per workload-design
workload_10967e5b4931fca6bc0140cb,0.95,8,floor,preload_all,6,0.9062347696710792,0.2761554704795583,AF/DF midpoint before one log-log slope per workload-design
workload_10967e5b4931fca6bc0140cb,0.95,8,nearest,preload_all,6,0.8952366961677317,-0.0049479169718417,AF/DF midpoint before one log-log slope per workload-design
workload_10bf1c4f06731f4a1e0c7914,0.95,16,ceiling,preload_all,5,1.0376920283108348,0.687052716689732,AF/DF midpoint before one log-log slope per workload-design
workload_10bf1c4f06731f4a1e0c7914,0.95,16,floor,preload_all,4,1.066756015677534,1.3808554440354306,AF/DF midpoint before one log-log slope per workload-design
workload_10bf1c4f06731f4a1e0c7914,0.95,16,nearest,preload_all,6,1.010442152421004,0.6806381170313471,AF/DF midpoint before one log-log slope per workload-design
workload_11486e68575cfde250c3d63b,1.1,16,ceiling,preload_all,5,0.9794573240157864,0.4452638544774516,AF/DF midpoint before one log-log slope per workload-design
workload_11486e68575cfde250c3d63b,1.1,16,floor,preload_all,6,1.0104022722434516,1.1459880941228868,AF/DF midpoint before one log-log slope per workload-design
workload_11486e68575cfde250c3d63b,1.1,16,nearest,preload_all,5,1.0281862320850093,1.0241822655678314,AF/DF midpoint before one log-log slope per workload-design
workload_11da955f8133b6eda9fbb2da,0.8,8,ceiling,preload_all,5,1.0872707113159832,0.8281480802051048,AF/DF midpoint before one log-log slope per workload-design
workload_11da955f8133b6eda9fbb2da,0.8,8,floor,preload_all,6,0.872312109013498,-0.1210953016933709,AF/DF midpoint before one log-log slope per workload-design
workload_11da955f8133b6eda9fbb2da,0.8,8,nearest,preload_all,6,0.9388983643584086,0.1776671524039999,AF/DF midpoint before one log-log slope per workload-design
